medicao,grupo_comprimento,repeticao,comprimento_m,tempo_10_oscilacoes_s,periodo_s,g_estimado_m_s2,incerteza_comprimento_m,incerteza_tempo_s
47,5,7,0.4507,13.413,1.3413,9.8905,0.002,0.01
48,5,8,0.4481,13.532,1.3532,9.6614,0.002,0.01
49,5,9,0.449,13.511,1.3511,9.7096,0.002,0.01
50,5,10,0.4479,13.322,1.3322,9.9627,0.002,0.01
51,6,1,0.4999,14.192,1.4192,9.7978,0.002,0.01
52,6,2,0.5019,14.168,1.4168,9.8712,0.002,0.01
53,6,3,0.498,14.163,1.4163,9.8021,0.002,0.01
54,6,4,0.501,14.249,1.4249,9.7411,0.002,0.01
55,6,5,0.4989,14.245,1.4245,9.7073,0.002,0.01
56,6,6,0.4984,14.252,1.4252,9.6868,0.002,0.01
57,6,7,0.4998,14.137,1.4137,9.8727,0.002,0.01
58,6,8,0.4979,14.15,1.415,9.8183,0.002,0.01
59,6,9,0.4989,14.218,1.4218,9.7427,0.002,0.01
60,6,10,0.4976,14.275,1.4275,9.6407,0.002,0.01
61,7,1,0.5539,14.825,1.4825,9.9498,0.002,0.01
62,7,2,0.5501,14.862,1.4862,9.8321,0.002,0.01
63,7,3,0.5486,14.74,1.474,9.9679,0.002,0.01
64,7,4,0.5504,14.766,1.4766,9.9659,0.002,0.01
65,7,5,0.5498,14.939,1.4939,9.7258,0.002,0.01
66,7,6,0.5496,14.967,1.4967,9.6849,0.002,0.01
67,7,7,0.5512,14.896,1.4896,9.8072,0.002,0.01
68,7,8,0.5515,14.936,1.4936,9.7597,0.002,0.01
69,7,9,0.5489,14.9,1.49,9.7617,0.002,0.01
70,7,10,0.5488,14.828,1.4828,9.8551,0.002,0.01
71,8,1,0.5994,15.589,1.5589,9.7376,0.002,0.01
72,8,2,0.5954,15.64,1.564,9.6088,0.002,0.01
73,8,3,0.597,15.554,1.5554,9.7422,0.002,0.01
74,8,4,0.6027,15.664,1.5664,9.6976,0.002,0.01
75,8,5,0.6033,15.315,1.5315,10.1548,0.002,0.01
76,8,6,0.5995,15.612,1.5612,9.7108,0.002,0.01
77,8,7,0.6012,15.549,1.5549,9.8163,0.002,0.01
78,8,8,0.6006,15.506,1.5506,9.8619,0.002,0.01
79,8,9,0.6062,15.547,1.5547,9.9,0.002,0.01
80,8,10,0.6022,15.374,1.5374,10.0588,0.002,0.01
81,9,1,0.6497,16.158,1.6158,9.8254,0.002,0.01
82,9,2,0.6481,16.212,1.6212,9.7348,0.002,0.01
83,9,3,0.6468,16.315,1.6315,9.5923,0.002,0.01
84,9,4,0.6504,16.113,1.6113,9.8894,0.002,0.01
85,9,5,0.6485,16.141,1.6141,9.8268,0.002,0.01
86,9,6,0.6472,16.104,1.6104,9.8515,0.002,0.01
87,9,7,0.6487,16.244,1.6244,9.7051,0.002,0.01
88,9,8,0.6478,16.209,1.6209,9.735,0.002,0.01
89,9,9,0.6534,16.135,1.6135,9.9076,0.002,0.01
90,9,10,0.6518,16.205,1.6205,9.7981,0.002,0.01
91,10,1,0.7,16.789,1.6789,9.8043,0.002,0.01
92,10,2,0.703,16.854,1.6854,9.7697,0.002,0.01
93,10,3,0.7002,16.719,1.6719,9.8886,0.002,0.01
94,10,4,0.6983,16.77,1.677,9.8016,0.002,0.01
95,10,5,0.703,16.758,1.6758,9.8833,0.002,0.01
96,10,6,0.7011,16.656,1.6656,9.9761,0.002,0.01
97,10,7,0.6979,16.821,1.6821,9.7377,0.002,0.01
98,10,8,0.6996,16.809,1.6809,9.7749,0.002,0.01
99,10,9,0.6982,16.797,1.6797,9.7708,0.002,0.01
100,10,10,0.6972,16.775,1.6775,9.7821,0.002,0.01
101,11,1,0.7519,17.247,1.7247,9.9781,0.002,0.01
102,11,2,0.7538,17.331,1.7331,9.9079,0.002,0.01
103,11,3,0.7472,17.357,1.7357,9.7917,0.002,0.01
104,11,4,0.7511,17.318,1.7318,9.8873,0.002,0.01
105,11,5,0.7487,17.36,1.736,9.8079,0.002,0.01
106,11,6,0.749,17.407,1.7407,9.7589,0.002,0.01
107,11,7,0.7488,17.543,1.7543,9.6055,0.002,0.01
108,11,8,0.7483,17.378,1.7378,9.7817,0.002,0.01
109,11,9,0.7501,17.402,1.7402,9.7788,0.002,0.01
110,11,10,0.7483,17.364,1.7364,9.7984,0.002,0.01
111,12,1,0.8005,17.786,1.7786,9.9904,0.002,0.01
112,12,2,0.7999,17.957,1.7957,9.7931,0.002,0.01
113,12,3,0.7995,17.96,1.796,9.7854,0.002,0.01
114,12,4,0.7982,18.152,1.8152,9.5634,0.002,0.01
115,12,5,0.7988,17.947,1.7947,9.7913,0.002,0.01
116,12,6,0.8015,17.967,1.7967,9.8018,0.002,0.01
117,12,7,0.801,17.95,1.795,9.8141,0.002,0.01
118,12,8,0.798,17.845,1.7845,9.894,0.002,0.01
119,12,9,0.8002,18.039,1.8039,9.708,0.002,0.01
120,12,10,0.8015,18.001,1.8001,9.765,0.002,0.01
121,13,1,0.8467,18.56,1.856,9.7034,0.002,0.01
122,13,2,0.8511,18.431,1.8431,9.8907,0.002,0.01
123,13,3,0.8487,18.595,1.8595,9.6897,0.002,0.01
124,13,4,0.8511,18.414,1.8414,9.9095,0.002,0.01
125,13,5,0.8485,18.527,1.8527,9.7587,0.002,0.01
126,13,6,0.8464,18.652,1.8652,9.6046,0.002,0.01
127,13,7,0.8467,18.433,1.8433,9.8381,0.002,0.01
128,13,8,0.8501,18.462,1.8462,9.8467,0.002,0.01
129,13,9,0.8505,18.512,1.8512,9.7976,0.002,0.01
130,13,10,0.8482,18.464,1.8464,9.8219,0.002,0.01
131,14,1,0.9013,18.907,1.8907,9.9535,0.002,0.01
132,14,2,0.8967,19.023,1.9023,9.782,0.002,0.01
133,14,3,0.8999,18.947,1.8947,9.8956,0.002,0.01
134,14,4,0.8976,19.059,1.9059,9.7552,0.002,0.01
135,14,5,0.8987,18.972,1.8972,9.8567,0.002,0.01
136,14,6,0.9001,19.153,1.9153,9.6867,0.002,0.01
137,14,7,0.8983,18.956,1.8956,9.8689,0.002,0.01
138,14,8,0.8992,19.001,1.9001,9.8332,0.002,0.01
139,14,9,0.902,19.102,1.9102,9.7587,0.002,0.01
140,14,10,0.8988,18.924,1.8924,9.9085,0.002,0.01
141,15,1,0.9517,19.559,1.9559,9.8214,0.002,0.01
142,15,2,0.9477,19.661,1.9661,9.6792,0.002,0.01
143,15,3,0.9511,19.428,1.9428,9.9476,0.002,0.01
144,15,4,0.9529,19.56,1.956,9.8326,0.002,0.01
145,15,5,0.9451,19.566,1.9566,9.7453,0.002,0.01
146,15,6,0.9484,19.619,1.9619,9.7277,0.002,0.01
147,15,7,0.9512,19.432,1.9432,9.9443,0.002,0.01
148,15,8,0.9496,19.426,1.9426,9.9342,0.002,0.01
149,15,9,0.9507,19.584,1.9584,9.7866,0.002,0.01
150,15,10,0.9488,19.573,1.9573,9.777,0.002,0.01
151,16,1,1.0002,20.085,2.0085,9.7876,0.002,0.01
152,16,2,0.9997,20.111,2.0111,9.7584,0.002,0.01
153,16,3,1.0023,20.019,2.0019,9.8738,0.002,0.01
154,16,4,1.0005,20.077,2.0077,9.7992,0.002,0.01
155,16,5,1.0007,20.084,2.0084,9.794,0.002,0.01
156,16,6,0.9992,19.988,1.9988,9.8728,0.002,0.01
157,16,7,0.999,20.21,2.021,9.6565,0.002,0.01
158,16,8,0.9991,20.094,2.0094,9.7688,0.002,0.01
159,16,9,1.0008,19.97,1.997,9.9069,0.002,0.01
160,16,10,0.9992,20.101,2.0101,9.7627,0.002,0.01
161,17,1,1.0506,20.486,2.0486,9.8828,0.002,0.01
162,17,2,1.0542,20.642,2.0642,9.7669,0.002,0.01
163,17,3,1.0517,20.647,2.0647,9.7398,0.002,0.01
164,17,4,1.0493,20.496,2.0496,9.861,0.002,0.01
165,17,5,1.0524,20.643,2.0643,9.7493,0.002,0.01
166,17,6,1.0492,20.583,2.0583,9.7767,0.002,0.01
167,17,7,1.0459,20.625,2.0625,9.7065,0.002,0.01
168,17,8,1.048,20.708,2.0708,9.648,0.002,0.01
169,17,9,1.0463,20.538,2.0538,9.7923,0.002,0.01
170,17,10,1.0493,20.484,2.0484,9.8724,0.002,0.01
171,18,1,1.1,20.969,2.0969,9.8767,0.002,0.01
172,18,2,1.1034,20.982,2.0982,9.8942,0.002,0.01
173,18,3,1.1007,21.055,2.1055,9.8013,0.002,0.01
174,18,4,1.0996,21.081,2.1081,9.7674,0.002,0.01
175,18,5,1.1017,21.094,2.1094,9.7742,0.002,0.01
176,18,6,1.0956,21.094,2.1094,9.72,0.002,0.01
177,18,7,1.1005,21.054,2.1054,9.801,0.002,0.01
178,18,8,1.1015,21.159,2.1159,9.7135,0.002,0.01
179,18,9,1.097,21.051,2.1051,9.7728,0.002,0.01
180,18,10,1.1023,21.245,2.1245,9.6412,0.002,0.01
181,19,1,1.1507,21.55,2.155,9.7817,0.002,0.01
182,19,2,1.1492,21.435,2.1435,9.874,0.002,0.01
183,19,3,1.1513,21.395,2.1395,9.929,0.002,0.01
184,19,4,1.1545,21.543,2.1543,9.8207,0.002,0.01
185,19,5,1.1504,21.483,2.1483,9.8399,0.002,0.01
186,19,6,1.1505,21.572,2.1572,9.7603,0.002,0.01
187,19,7,1.1491,21.556,2.1556,9.7631,0.002,0.01
188,19,8,1.1483,21.535,2.1535,9.7752,0.002,0.01
189,19,9,1.1517,21.459,2.1459,9.8732,0.002,0.01
190,19,10,1.1483,21.383,2.1383,9.9147,0.002,0.01
191,20,1,1.2001,21.926,2.1926,9.8552,0.002,0.01
192,20,2,1.199,22.051,2.2051,9.7348,0.002,0.01
193,20,3,1.201,21.973,2.1973,9.8202,0.002,0.01
194,20,4,1.2007,21.903,2.1903,9.8803,0.002,0.01
195,20,5,1.2021,22.007,2.2007,9.7988,0.002,0.01
196,20,6,1.199,21.999,2.1999,9.7805,0.002,0.01
197,20,7,1.1995,21.879,2.1879,9.8922,0.002,0.01
198,20,8,1.198,22.008,2.2008,9.765,0.002,0.01
199,20,9,1.1991,21.978,2.1978,9.8001,0.002,0.01
200,20,10,1.2008,21.902,2.1902,9.8816,0.002,0.01
