ponto,tensao_V,corrente_A,resistencia_ohm,tensao_prevista_V
75,7.563,0.15459,48.922,7.270761876390808
76,7.662,0.16504,46.428,7.761125830307819
77,7.762,0.16536,46.939,7.776141759997144
78,7.861,0.16651,47.212,7.830105257318154
79,7.961,0.16961,46.935,7.9755720761834885
80,8.06,0.16638,48.444,7.824005035881866
81,8.16,0.17304,47.155,8.136524072540938
82,8.259,0.17667,46.75,8.306861024954214
83,8.359,0.18179,45.981,8.547115899983412
84,8.458,0.17856,47.368,8.395548859681789
85,8.558,0.17987,47.577,8.457020321847462
86,8.657,0.18281,47.356,8.594979175868135
87,8.757,0.18887,46.363,8.879343344359722
88,8.856,0.18936,46.769,8.9023364866965
89,8.956,0.18903,47.376,8.886851309204383
90,9.055,0.19415,46.641,9.127106184233579
91,9.155,0.19507,46.932,9.170276982090387
92,9.254,0.19976,46.327,9.390354201599553
93,9.354,0.19692,47.5,9.257087825606797
94,9.453,0.20014,47.232,9.408185618105628
95,9.553,0.20205,47.278,9.497811948438784
96,9.652,0.20086,48.055,9.441971459906608
97,9.752,0.20841,46.792,9.796253551014114
98,9.851,0.21042,46.817,9.890572359375184
99,9.951,0.21173,46.996,9.952043821540858
100,10.05,0.21308,47.166,10.015392274917696
101,10.15,0.21137,48.019,9.935150900640368
102,10.249,0.21669,47.298,10.184790731725391
103,10.349,0.21905,47.243,10.29553321318416
104,10.448,0.21963,47.572,10.322749585746061
105,10.548,0.22388,47.114,10.522179901932406
106,10.647,0.22791,46.717,10.71128676645734
107,10.747,0.23512,45.707,11.049614432269939
108,10.846,0.23138,46.877,10.874115754025956
109,10.946,0.23379,46.819,10.987204474498682
110,11.045,0.23474,47.053,11.031783015763866
111,11.145,0.2303,48.393,10.823436991324485
112,11.244,0.23914,47.019,11.23825204899208
113,11.344,0.24157,46.958,11.35227926507039
114,11.443,0.25247,45.325,11.863759370113016
115,11.543,0.24488,47.136,11.507600287794343
116,11.642,0.24883,46.788,11.692953169896946
117,11.742,0.24969,47.024,11.733308480937005
118,11.841,0.24752,47.839,11.631481707731272
119,11.941,0.25841,46.208,12.142492564971104
120,12.04,0.25906,46.476,12.172993672152547
121,12.14,0.26136,46.449,12.280920666794566
122,12.239,0.25686,47.65,12.069759155538437
123,12.339,0.26805,46.031,12.594847446862014
124,12.438,0.25908,48.01,12.173932167758128
125,12.538,0.26911,46.59,12.644587713957902
126,12.637,0.27771,45.505,13.048140824358505
127,12.737,0.26697,47.709,12.54416868416054
128,12.836,0.27079,47.403,12.723421344826855
129,12.936,0.27564,46.93,12.951006529180685
130,13.035,0.27525,47.358,12.932705864871819
131,13.135,0.27296,48.119,12.825248118032588
132,13.234,0.28187,46.952,13.243347910319725
133,13.334,0.27917,47.761,13.116651003566046
134,13.433,0.28784,46.668,13.52348884858619
135,13.533,0.28396,47.657,13.341420701103127
136,13.632,0.29679,45.932,13.943465632084491
137,13.732,0.28873,47.559,13.565251903034625
138,13.831,0.29286,47.228,13.759051245587473
139,13.931,0.30001,46.433,14.094563424583322
140,14.03,0.293,47.884,13.76562071482655
141,14.13,0.30166,46.84,14.171989312043902
142,14.229,0.30868,46.096,14.501401269603464
143,14.329,0.29751,48.161,13.977251473885472
144,14.428,0.30783,46.87,14.461515206366196
145,14.528,0.3103,46.817,14.577419413655672
146,14.627,0.31487,46.455,14.79186565953134
147,14.727,0.30752,47.889,14.446968524479663
148,14.826,0.3092,47.95,14.525802155348616
149,14.926,0.32005,46.635,15.034936021377284
150,15.025,0.32111,46.792,15.084676288473172
151,15.125,0.32301,46.824,15.17383337100354
152,15.224,0.3256,46.757,15.29536855192651
153,15.324,0.32271,47.484,15.159755936919796
154,15.423,0.32929,46.837,15.468520991156538
155,15.523,0.33172,46.794,15.582548207234847
156,15.622,0.32882,47.509,15.44646634442534
157,15.722,0.34386,45.72,16.152215039823602
158,15.821,0.33901,46.668,15.924629855469774
159,15.921,0.33268,47.855,15.62759599630282
160,16.02,0.34421,46.542,16.168638712921304
161,16.12,0.33796,47.697,15.875358836176678
162,16.219,0.34916,46.452,16.400916375303044
163,16.319,0.35324,46.197,16.592369478841935
164,16.418,0.34502,47.586,16.206647784947407
165,16.518,0.35652,46.33,16.746282758157513
166,16.617,0.35574,46.711,16.709681429539785
167,16.717,0.36006,46.428,16.91239648034567
168,16.816,0.36797,45.7,17.283571492353666
169,16.916,0.35858,47.174,16.842947805532543
170,17.015,0.35793,47.537,16.812446698351103
171,17.115,0.35928,47.636,16.87579515172794
172,17.214,0.36177,47.582,16.992637854623
173,17.314,0.36795,47.054,17.28263299674808
174,17.413,0.37239,46.761,17.490979021187464
175,17.513,0.37415,46.806,17.57356663447875
176,17.612,0.37937,46.424,17.81851398753586
177,17.712,0.37692,46.991,17.703548275851965
178,17.811,0.38722,45.997,18.186873512727107
179,17.911,0.37956,47.187,17.827429695788897
180,18.01,0.39883,45.157,18.73167021176792
181,18.11,0.38893,46.563,18.267114887004436
182,18.209,0.38245,47.612,17.96304231079561
183,18.309,0.38329,47.767,18.00245912623009
184,18.408,0.39449,46.662,18.528016665356454
185,18.508,0.39246,47.158,18.4327593613898
186,18.607,0.40013,46.502,18.7926724261308
187,18.707,0.40084,46.669,18.82598902012899
188,18.806,0.39969,47.051,18.77202552280798
189,18.906,0.39714,47.605,18.652367333096173
190,19.005,0.39517,48.093,18.55992551594627
191,19.105,0.40376,47.317,18.96300937854408
192,19.204,0.41384,46.404,19.436011163757808
193,19.304,0.41203,46.85,19.351077311452567
194,19.403,0.40512,47.895,19.02682707972371
195,19.503,0.41602,46.878,19.538307184766335
196,19.602,0.41947,46.73,19.700197676729367
197,19.702,0.41362,47.631,19.425687712096398
198,19.801,0.42227,46.892,19.831587061510955
199,19.901,0.42378,46.959,19.902443479732458
200,20.0,0.41824,47.82,19.642480196986025
