ponto,tensao_V,corrente_A,resistencia_ohm
111,11.145,0.2303,48.393
112,11.244,0.23914,47.019
113,11.344,0.24157,46.958
114,11.443,0.25247,45.325
115,11.543,0.24488,47.136
116,11.642,0.24883,46.788
117,11.742,0.24969,47.024
118,11.841,0.24752,47.839
119,11.941,0.25841,46.208
120,12.04,0.25906,46.476
121,12.14,0.26136,46.449
122,12.239,0.25686,47.65
123,12.339,0.26805,46.031
124,12.438,0.25908,48.01
125,12.538,0.26911,46.59
126,12.637,0.27771,45.505
127,12.737,0.26697,47.709
128,12.836,0.27079,47.403
129,12.936,0.27564,46.93
130,13.035,0.27525,47.358
131,13.135,0.27296,48.119
132,13.234,0.28187,46.952
133,13.334,0.27917,47.761
134,13.433,0.28784,46.668
135,13.533,0.28396,47.657
136,13.632,0.29679,45.932
137,13.732,0.28873,47.559
138,13.831,0.29286,47.228
139,13.931,0.30001,46.433
140,14.03,0.293,47.884
141,14.13,0.30166,46.84
142,14.229,0.30868,46.096
143,14.329,0.29751,48.161
144,14.428,0.30783,46.87
145,14.528,0.3103,46.817
146,14.627,0.31487,46.455
147,14.727,0.30752,47.889
148,14.826,0.3092,47.95
149,14.926,0.32005,46.635
150,15.025,0.32111,46.792
151,15.125,0.32301,46.824
152,15.224,0.3256,46.757
153,15.324,0.32271,47.484
154,15.423,0.32929,46.837
155,15.523,0.33172,46.794
156,15.622,0.32882,47.509
157,15.722,0.34386,45.72
158,15.821,0.33901,46.668
159,15.921,0.33268,47.855
160,16.02,0.34421,46.542
161,16.12,0.33796,47.697
162,16.219,0.34916,46.452
163,16.319,0.35324,46.197
164,16.418,0.34502,47.586
165,16.518,0.35652,46.33
166,16.617,0.35574,46.711
167,16.717,0.36006,46.428
168,16.816,0.36797,45.7
169,16.916,0.35858,47.174
170,17.015,0.35793,47.537
171,17.115,0.35928,47.636
172,17.214,0.36177,47.582
173,17.314,0.36795,47.054
174,17.413,0.37239,46.761
175,17.513,0.37415,46.806
176,17.612,0.37937,46.424
177,17.712,0.37692,46.991
178,17.811,0.38722,45.997
179,17.911,0.37956,47.187
180,18.01,0.39883,45.157
181,18.11,0.38893,46.563
182,18.209,0.38245,47.612
183,18.309,0.38329,47.767
184,18.408,0.39449,46.662
185,18.508,0.39246,47.158
186,18.607,0.40013,46.502
187,18.707,0.40084,46.669
188,18.806,0.39969,47.051
189,18.906,0.39714,47.605
190,19.005,0.39517,48.093
191,19.105,0.40376,47.317
192,19.204,0.41384,46.404
193,19.304,0.41203,46.85
194,19.403,0.40512,47.895
195,19.503,0.41602,46.878
196,19.602,0.41947,46.73
197,19.702,0.41362,47.631
198,19.801,0.42227,46.892
199,19.901,0.42378,46.959
200,20.0,0.41824,47.82
